fpl_name,rp,teff,sinc,mp,period,TSM
K2-146 b,2.05,3385.0,20.7,5.77,2.6446,36.85322609379007
K2-146 c,2.19,3385.0,11.02872139615411,7.49,4.00498,30.14117295316982
K2-18 b,2.37,3457.0,1.005,8.92,32.939623,35.203684441618705
K2-19 b,7.74,5430.0,125.9,28.5,7.9194,106.90233344405458
K2-19 c,4.86,5430.0,73.1,15.9,11.90715,41.40781661694186
K2-216 b,1.75,4503.0,248.0,8.0,2.1748,14.649142808690057
K2-229 b,1.14,5315.0,2621.31114055714,2.49,0.58426,4.507958755994165
K2-232 b,11.209000000000001,6154.0,161.28584290619614,126.49633999999999,11.168454,168.8259634630032
K2-237 b,18.405,6099.0,1901.8293439050033,392.83788,2.1805577,139.5283073084638
K2-238 b,14.572000000000001,5630.0,1121.569689084246,273.3338,3.20466,26.69070047257369
K2-24 b,5.4,5625.0,60.1,19.0,20.88977,62.813978347480855
K2-24 c,7.5,5625.0,23.4,15.4,42.3391,164.06742805600268
K2-260 b,17.396,6367.0,2436.1399142033724,451.3186,2.6266657,48.239257892085966
K2-261 b,9.527999999999999,5537.0,213.43501852641148,70.87609,11.63344,74.48820876141163
K2-263 b,2.41,5368.0,8.130880385983005,14.8,50.818947,7.024123913739479
K2-265 b,1.71,5477.0,677.7062090613952,6.54,2.369172,16.174281899469307
K2-266 b,3.3,4285.0,879.5,11.26782,0.658524,150.56384316155246
K2-266 c,0.705,4285.0,32.4,0.29013,7.814,3.710534868990898
K2-266 d,2.93,4285.0,13.95,8.9,14.697,47.38918773842684
K2-266 e,2.73,4285.0,9.581,14.3,19.482,21.37850219032003
K2-27 b,4.48,5248.0,116.0,30.9,6.771315,22.889787407032895
K2-285 b,2.59,4975.0,234.31,9.68,3.471745,30.201028115508862
K2-285 c,3.53,4975.0,50.35,15.68,7.138048,37.71129039746712
K2-287 b,9.494,5695.0,74.0667601401602,100.11645,14.893291,81.41679979394979
K2-29 b,13.339,5358.0,293.0,232.0159,3.2588321,139.39056957176905
K2-290 c,11.276,6302.0,42.57730153795269,246.00042000000002,48.36685,23.243605589119873
K2-291 b,1.589,5520.0,633.0,6.49,2.225177,23.763364470334178
K2-292 b,2.63,5725.0,67.0,24.5,16.9841,11.325664489544565
K2-295 b,10.054,4444.0,85.48202051980377,106.47305,4.024867,82.56254433438012
K2-3 b,1.98,3896.0,5.8,6.48,10.054626,31.853067122832925
K2-3 c,1.56,3896.0,1.77,2.14,24.646582,34.9859593601498
K2-30 b,11.645999999999999,5425.0,299.0,184.02357,4.098503,71.89915889472091
K2-31 b,11.882,5280.0,1272.0,563.83042,1.25785,116.43867029044686
K2-32 b,4.96,5415.0,77.7,16.5,8.991828,84.40661288967537
K2-32 d,3.27,5415.0,14.5,10.3,31.7142,28.33119937940746
K2-34 b,13.96,6071.0,1392.2639243540139,539.67534,2.995633,37.30461782262059
K2-36 b,1.43,4916.0,529.0,3.9,1.422614,3.596779235237638
K2-36 c,3.2,4916.0,90.0,7.8,5.340888,87.35206585731756
K2-38 b,1.906,5757.0,465.9,19.0698,4.01593,3.208517424881231
K2-38 c,2.42,5757.0,128.3,9.9,10.56103,9.16472365638781
K2-39 b,6.277,4881.0,1356.0,28.6047,4.60543,32.12531039935765
K2-60 b,7.656000000000001,5500.0,1212.0,135.39558,3.00265,22.184093028563986
K2-66 b,2.49,5887.0,840.0,21.3,5.06963,3.1741892412521864
K2-97 b,10.61,4717.0,1200.5886123851167,152.5584,8.406726,5.367561644127684
K2-98 b,5.2,6172.0,338.27775323617135,32.2,10.136448,14.504632159181057
K2-99 b,11.73,6217.0,363.72133971428536,308.2951,18.251985,10.472288991902861
KELT-1 b,12.442,6518.0,5761.747910915919,8654.15,1.217514,3.373747144569146
KELT-10 b,15.681,5948.0,600.0,215.80657000000002,4.1662739,222.6287932624791
KELT-11 b,15.132,5375.0,1433.0,54.34893,4.7361,819.5628669402937
KELT-12 b,19.952,6279.0,1749.0,301.9385,5.031623,114.87040583097573
KELT-14 b,19.537,5720.0,2454.983308558504,408.09372,1.7100566,194.83733634799
KELT-15 b,19.504,6003.0,1197.6024159876538,416.3573,3.32944,96.44429621143827
KELT-16 b,15.860999999999999,6236.0,6018.508952059122,874.0325,0.9689951,45.42469608528403
KELT-17 b,17.094,7454.0,3159.3811056449604,416.3573,3.0801716,188.6388050790337
KELT-18 b,17.598,6670.0,3152.0,375.0394,2.8717518,122.78185507244734
KELT-2 A b,15.132,6327.0,1590.8955751737356,540.311,4.11379,101.90007291521268
KELT-23 A b,14.83,5899.0,991.183,298.12453999999997,2.255251,283.80461115839245
KELT-24 b,14.258,6509.0,750.9,1646.3594,5.5514926,42.81930011766703
KELT-3 b,17.486,6304.0,1812.9508568144902,616.5902,2.70339,101.1129951755956
KELT-4 A b,19.044,6206.0,1829.3176011978271,286.68266,2.9895932,310.05512307636803
KELT-6 b,14.572000000000001,6102.0,493.5739333756977,165.2716,7.8457,130.26825918012275
KELT-7 b,17.934,6768.0,2888.69297086795,441.7837,2.73477,265.1389366891954
KELT-8 b,18.159000000000002,5754.0,1311.8443664889642,209.7678,3.24406,312.4174873844236
KELT-9 b,21.195999999999998,10170.0,44900.0,915.3504,1.4811235,280.4346795888841
KOI-12 b,13.787,6466.33,196.507,349.613,17.855182,33.539186340561265
KOI-1257 b,10.54,5520.0,7.292665593450612,460.83,86.647661,2.3756326329633697
KOI-13 b,16.948,7650.0,25339.901,2949.4624,1.763588,21.082941636285
KOI-142 b,3.438,5466.0,68.563,9.5,10.91647,22.92874713003081
KOI-1599.01,1.9,5370.0,32.366507389294,4.6,20.4415,2.49223891277765
KOI-1599.02,1.9,5370.0,55.67835694590916,9.0,13.6088,1.4588231217549659
KOI-1783.01,8.86,5922.0,5.7,71.0,134.4628,9.499867069508243
KOI-1783.02,5.44,5922.0,2.49,15.0,284.215,8.110205710128659
