Planet Radius Value,Stellar Mass,Orbital Period Value,Star Radius Value,Effective Temperature Value,J mag,TIC Declination,Effective Stellar Flux Value,pl_masses,mass_flag,Ars,K_amp,TSM,Full TOI ID
14.572000000000001,1.37,3.35524,1.38,6373.0,10.797,14.262599,1187.8484551831702,238.3725,1.0,7.592870484520829,82.68976545837454,88.81103444781218,HAT-P-24 b
12.722000000000001,1.01,3.65281514,0.92,5519.0,11.319,25.197405,325.0,180.84527,1.0,10.888471588401012,74.72527537681285,99.66510765425409,HAT-P-25 b
7.062,1.12,4.23452,0.87,5079.0,10.08,4.059997,159.71269805493864,22.2481,1.0,13.1518054561979,8.168269040511865,229.57261111799855,HAT-P-26 b
11.43,0.94,3.039577,0.9,5300.0,10.626,5.947368,354.398127195823,197.05,1.0,9.614012970338651,90.81076566037741,97.47283402628213,HAT-P-27 b
13.585,1.02,3.257215,1.1,5680.0,11.561,34.728413,603.0996178728232,198.953,1.0,8.464490431308677,84.85004679086708,80.57008740072675,HAT-P-28 b
13.115,1.45,5.72319,1.3,6087.0,10.648,51.778759,433.0,279.6904,1.0,11.726468824169212,78.18738489767937,51.18505069364799,HAT-P-29 b
10.536,1.06,2.8997,0.87,5185.0,9.936,48.028667,298.1475438916759,206.5895,1.0,10.03183954168303,89.26964930227534,102.54673817508791,HAT-P-3 b
16.141,1.55,2.8106,1.31,6304.0,9.442,5.836719,1195.253187927889,263.7989,1.0,7.406297059809891,89.40655299981911,226.242517300957,HAT-P-30 b
12.218,1.31,5.00542,1.39,6065.0,10.423,26.426662,597.4803328341545,721.4741,1.0,9.696131055095986,225.6715907606292,17.055498835160954,HAT-P-31 b
22.194000000000003,1.13,2.1500082,1.37,6001.0,10.251,46.687836,1841.0,216.1244,1.0,5.331239016016152,98.87549027916211,507.40436924670354,HAT-P-32 b
20.737,1.82,3.47447,1.79,6446.0,10.263,33.835052000000005,1652.1162743152438,292.4036,1.0,6.58656483728021,82.96395584187104,172.22360030722226,HAT-P-33 b
13.417,1.39,5.452654,1.53,6442.0,9.46,18.104868,790.1647397695485,1058.3739,1.0,9.512206978582459,309.27427080764306,21.23279630820109,HAT-P-34 b
14.93,1.24,3.646706,1.44,6096.0,11.357999999999999,4.7870230000000005,1035.5276860364838,335.62847999999997,1.0,7.4405961453302085,121.0211519781541,46.496425534910216,HAT-P-35 b
14.314,1.03,1.32734683,1.04,5620.0,11.046,44.915352,1821.0,587.41341,1.0,4.937015709223889,335.71809630079866,58.64883730797324,HAT-P-36 b
13.204,0.93,2.797436,0.88,5500.0,12.092,51.269138,442.0651512403937,371.528,1.0,9.270025153232487,177.28284583596218,44.85023559677943,HAT-P-37 b
9.247,0.89,4.640382,0.92,5330.0,10.989,32.246151,223.47307134470225,84.857,1.0,12.244484131899362,35.22304860240599,86.47270598618539,HAT-P-38 b
17.609,1.4,3.54387,1.62,6430.0,11.424000000000001,17.830082,1554.3800376246352,190.372,1.0,6.75681478499995,63.915909297565335,114.10213928475059,HAT-P-39 b
14.28,0.56,3.056536,1.62,5860.0,10.1,36.229664,2405.8108410679283,213.255,1.0,4.510899660554247,138.552558499641,111.48187023160494,HAT-P-4 b
17.038,1.03,4.45724,1.94,6080.0,10.367,45.457378000000006,1610.5614173035751,152.5584,1.0,5.934951669722964,58.2245963176593,147.63661699353995,HAT-P-40 b
22.978,2.56,2.69405,2.05,6390.0,10.006,4.672421,2340.000759625616,378.2177,1.0,5.438666025487436,93.04588527940703,169.5995162660611,HAT-P-41 b
14.347999999999999,1.18,4.641878,1.53,5743.0,10.96,6.097230000000001,689.971018081235,331.801,1.0,8.09023024738128,114.10612632879179,40.12867034341972,HAT-P-42 b
14.359000000000002,1.05,3.332687,1.1,5645.0,12.145999999999999,10.206653,559.7506530095264,210.395,1.0,8.678192145092002,87.3430238485713,67.45031146778308,HAT-P-43 b
13.922,0.94,4.301219,0.95,5295.0,11.729000000000001,47.014687,247.6145238487951,111.871,1.0,11.480017369441367,45.92180496402227,153.18551179106353,HAT-P-44 b
15.984000000000002,1.26,3.128992,1.32,6330.0,10.73,-3.381036,1227.577043329503,283.492,1.0,7.368544566181817,106.43296085939487,112.01171266436256,HAT-P-45 b
14.392000000000001,1.28,4.463129,1.4,6120.0,10.33,-2.9709470000000002,743.6037138086916,156.684,1.0,8.84974471245865,51.711687186979724,139.49274569003302,HAT-P-46 b
17.822,2.22,2.69155,2.06,6820.0,9.55,26.692652000000002,3375.766325216972,699.226,1.0,5.157998774604441,189.21923640871805,57.31178149589878,HAT-P-49 b
13.562999999999999,1.04,2.78849,1.12,5960.0,10.844000000000001,36.62141,920.4052609906943,311.4734,1.0,7.543999429402432,138.09974947463454,76.39035972693958,HAT-P-5 b
14.437000000000001,1.27,3.1220109,1.7,6280.0,10.815999999999999,12.13941,1968.008968364797,429.0705,1.0,5.728018665048303,160.3609256846126,35.558599225560954,HAT-P-50 b
14.493,0.98,4.2180278,1.04,5449.0,12.039000000000001,32.810764,332.2331512873356,98.20947,1.0,10.495685449305569,39.46541627885991,153.26714859933045,HAT-P-51 b
11.31,0.89,2.7535953,0.89,5131.0,12.195,29.022396,360.1916228605853,259.98494,1.0,8.93790838805106,128.42177463036666,35.680137360264325,HAT-P-52 b
14.773,1.09,1.9616241,1.21,5956.0,12.468,38.968146999999995,1659.675322111257,471.65972,1.0,5.610434332622929,227.8888330481589,30.636973000595784,HAT-P-53 b
10.581,0.65,3.799847,0.62,4390.0,11.145,25.48254,75.17673006097131,241.5508,1.0,14.32141726397924,132.1482418479427,71.03013622094376,HAT-P-54 b
13.249,1.01,3.5852467,1.01,5808.0,12.02,25.731185999999997,492.3212243786008,184.97706000000002,1.0,9.795522567289616,76.90970146337591,73.36422356409827,HAT-P-55 b
16.926,1.42,2.79083,1.47,6566.0,10.068,27.252292999999998,3515.0,734.1873,1.0,6.38013983607416,264.41577472745024,62.61668827206118,HAT-P-56 b
19.504,2.77,2.4653,1.85,6330.0,9.67,10.597294,1959.82716320758,448.1403,1.0,5.8317272965781894,107.74275584469424,120.03324757176468,HAT-P-57 b
16.589000000000002,1.79,3.85298,1.62,6570.0,9.558,42.465973,1286.4695264900135,419.5356,1.0,7.754068996949554,116.28358093924923,97.50910153122253,HAT-P-6 b
21.185,1.21,2.6054552,1.86,5835.0,11.892000000000001,11.989403999999999,2307.9512220706597,167.49641,1.0,4.566327765700416,68.67066240919975,152.43832765975424,HAT-P-65 b
17.822,1.25,2.972086,1.88,6002.0,12.001,53.950863,2167.1227654488266,248.86088999999998,1.0,4.985961246183484,95.55352239090284,55.97593464324519,HAT-P-66 b
23.371,1.64,4.8101025,2.55,6406.0,9.145,44.776981,2271.950060533148,108.0622,1.0,5.547191409777731,29.487886507701084,595.6771230906411,HAT-P-67 b
18.785999999999998,1.65,4.7869491,1.93,7394.0,9.373,3.7105660000000005,2315.4587591385584,1137.8314,1.0,7.320471278009129,309.73208709924853,46.39841977246139,HAT-P-69 b
